Date,Close,High,Low,Open,Volume
2010-10-27,15.249839782714844,15.33716144731693,15.147426502079512,15.232523211804168,90012128
2010-10-28,15.302035331726074,15.361899785911628,15.171422235464611,15.338398995227823,87699492
2010-10-29,15.181316375732422,15.312425798812656,15.163753534484083,15.264681619330199,91473585
2010-11-01,15.213476181030273,15.353490166457545,15.11972212683208,15.231534404762995,123946848
2010-11-02,15.22831916809082,15.337162948379595,15.203086908073479,15.304262218183178,80203500
2010-11-03,15.341615676879883,15.382432094426271,15.176370374450022,15.27532072931446,135726838
2010-11-04,15.442790985107422,15.582555845972562,15.389109806141523,15.451942757545726,143367369
2010-11-05,15.46282958984375,15.472973074402507,15.364622776320452,15.41582895044791,70892731
2010-11-08,15.504634857177734,15.571920567103698,15.414590954304558,15.436607495565015,84367048
2010-11-09,15.456398010253906,15.605563779285395,15.349780128250107,15.584538000206129,89823423
2010-11-10,15.408406257629395,15.41137475866938,15.275567256878679,15.388616566426965,100254375
2010-11-11,15.267651557922363,15.333453019275487,15.193934409041846,15.329741919151958,90803081
2010-11-12,14.923800468444824,15.260476195333384,14.872346139202781,15.188489577834437,136228712
2010-11-15,14.730354309082031,14.941365093453935,14.695227679350545,14.918605954740489,139677591
2010-11-16,14.439691543579102,14.79022000753227,14.433012889484797,14.663318002200716,132791878
2010-11-17,14.435486793518066,14.582674818285309,14.381558390940599,14.471356024697588,98066204
2010-11-18,14.757319450378418,14.841921735451724,14.559420631258904,14.570305767232911,103988318
2010-11-19,14.61557388305664,14.790219114206632,14.603452661771339,14.768202573802197,92244464
2010-11-22,14.625221252441406,14.68013852205274,14.415696604868238,14.532456067910365,87791837
2010-11-23,14.422126770019531,14.57055181968641,14.303140460261057,14.521077118861584,86828238
2010-11-24,14.717987060546875,14.758309990981619,14.52206692947376,14.52849931350473,96215292
2010-11-26,14.59504222869873,14.668760322882626,14.520830647247145,14.606421798821634,52640573
2010-11-29,14.399864196777344,14.59009453350703,14.346431178017784,14.574509429439281,114816754
2010-11-30,13.746797561645508,14.207160539505256,13.687427541642073,14.207160539505256,285763111
2010-12-01,13.960528373718262,14.139132876281254,13.912290703869482,13.927133209544868,150726852
2010-12-02,14.145317077636719,14.182670559006452,13.985266180969477,14.067147179308254,102298006
2010-12-03,14.174508094787598,14.260593683076001,14.050820859540146,14.086690091458435,105642495
2010-12-06,14.307099342346191,14.39714419176437,14.26380885901575,14.3617684484722,84065923
2010-12-07,14.524292945861816,14.669254113993983,14.49609218621388,14.626458066487416,122144116
2010-12-08,14.608400344848633,14.657380613287627,14.438949511115013,14.643775141031092,70539412
